InvoiceNo,Quantity,UnitPrice,CustomerID,TotalPrice,Year,Month,Day,Weekday,Cluster
4304,86,469.2697215364069,1075,40357.196052131,2010,1,26,3,3
4763,19,54.59181342187512,1075,1037.2444550156274,2012,9,17,6,3
6232,99,475.0013946153478,1002,47025.13806691943,2012,8,2,0,3
2853,76,55.489352613248016,1038,4217.190798606849,2012,2,17,1,3
7585,54,231.28640342721667,1098,12489.4657850697,2010,9,25,5,3
2291,69,469.05804129670594,1082,32365.00484947271,2012,4,4,0,3
4581,10,117.12139199404687,1044,1171.213919940469,2012,10,7,3,3
8554,33,18.35770544850829,1067,605.8042798007737,2011,12,15,2,3
8280,13,396.7622268390822,1030,5157.908948908069,2012,6,21,3,3
2636,99,298.3459351968359,1037,29536.247584486755,2012,2,25,1,3
4696,51,257.44667525781887,1096,13129.780438148762,2011,10,16,5,3
1698,32,18.13734879225597,1005,580.395161352191,2010,4,25,1,3
5737,75,326.9624031346157,1007,24522.18023509618,2010,2,6,0,3
1854,24,86.64005259039783,1027,2079.361262169548,2011,12,5,0,3
9164,35,465.667143422143,1014,16298.350019775004,2010,9,26,1,3
6855,83,343.17774858676535,1094,28483.753132701524,2010,9,16,6,3
8392,70,353.8099101288844,1007,24766.693709021907,2012,5,1,6,3
7528,40,117.05755603302894,1053,4682.302241321157,2012,3,15,0,3
6249,54,440.49616519030246,1005,23786.792920276333,2012,3,20,6,3
6172,44,269.3285528208173,1028,11850.456324115965,2010,1,5,4,3
2707,62,428.68500472930106,1033,26578.470293216666,2012,8,13,5,3
6791,99,136.20278994130572,1006,13484.076204189269,2010,3,14,1,3
6535,68,377.9753948360248,1039,25702.326848849687,2012,12,25,5,3
5931,33,287.7088849263637,1073,9494.39320257,2010,4,2,0,3
4510,77,25.16123359948023,1012,1937.4149871599775,2011,2,2,6,3
1202,56,203.26581956287015,1061,11382.88589552073,2011,8,19,5,3
5218,36,92.77132209660896,1085,3339.767595477923,2012,3,19,3,3
9958,54,180.2276203514993,1084,9732.29149898096,2010,12,12,2,3
5389,19,192.292465498346,1064,3653.5568444685737,2011,11,23,6,3
3327,43,237.989248161164,1040,10233.537670930053,2011,2,17,4,3
9004,12,300.54493092150307,1041,3606.539171058037,2012,1,2,4,3
3931,11,285.9178485966014,1065,3145.0963345626155,2012,10,11,2,3
8777,70,20.45671094779254,1092,1431.969766345478,2010,2,17,2,3
1197,12,375.5939200258722,1010,4507.127040310466,2011,2,14,5,3
8125,91,474.64275835191137,1049,43192.491010023936,2010,4,9,5,3
2930,41,174.99196320349836,1070,7174.670491343432,2010,11,26,3,3
7287,25,90.69370376779102,1034,2267.3425941947758,2012,1,25,5,3
9800,3,270.46077999457725,1093,811.3823399837318,2010,1,19,2,3
5282,3,352.7515511938279,1079,1058.2546535814836,2010,6,28,4,3
3511,84,339.7735423693039,1078,28540.97755902153,2011,5,19,3,3
1659,28,306.44267917292825,1019,8580.39501684199,2010,1,1,2,3
3811,23,73.96989381197608,1027,1701.3075576754495,2011,6,5,3,3
8098,48,418.5756223070962,1036,20091.629870740617,2011,8,19,3,3
7546,67,213.38515964698885,1002,14296.805696348254,2010,5,2,5,3
2986,42,111.51282293290312,1092,4683.538563181932,2010,3,14,5,3
9338,88,44.04680439048515,1058,3876.118786362693,2011,3,19,0,3
3911,40,208.94283837155143,1072,8357.713534862058,2010,11,24,2,3
2734,6,309.36855037680635,1026,1856.2113022608385,2011,12,8,5,3
2843,20,333.0234768666024,1031,6660.469537332047,2010,2,17,0,3
9680,11,481.4057187872311,1047,5295.462906659542,2011,9,2,5,3
3976,96,77.42089374821495,1045,7432.405799828635,2011,9,17,4,3
2959,27,492.9010589335785,1094,13308.32859120662,2012,7,8,6,3
6759,21,327.6832644055417,1046,6881.348552516376,2010,1,14,3,3
7694,13,227.66029979589356,1089,2959.583897346616,2011,1,17,4,3
3385,86,444.2089186982315,1039,38201.96700804791,2011,4,6,3,3
5736,35,347.545391234743,1002,12164.088693216008,2010,12,26,2,3
2802,47,175.0098902136506,1074,8225.464840041579,2010,2,11,6,3
9155,86,442.1587625916544,1028,38025.653582882274,2010,3,8,1,3
9120,28,333.6411129529479,1090,9341.95116268254,2012,2,13,2,3
7616,21,349.71984054131553,1057,7344.116651367626,2010,1,8,3,3
6534,18,448.2985541549271,1049,8069.373974788687,2012,3,7,1,3
5061,31,224.75968777655856,1009,6967.550321073316,2010,7,24,1,3
1262,60,328.7951488739185,1060,19727.708932435115,2012,10,24,2,3
7287,37,372.5998217972524,1098,13786.193406498338,2010,9,26,4,3
9815,21,227.51608900726,1060,4777.83786915246,2012,10,3,2,3
3049,14,42.642605753158925,1022,596.9964805442249,2011,9,2,3,3
6423,89,385.948444778086,1005,34349.411585249654,2012,8,12,6,3
5548,91,24.86036001893755,1074,2262.2927617233167,2012,6,4,4,3
4108,60,359.2392864596464,1059,21554.357187578786,2011,1,5,3,3
8158,23,455.526729053752,1026,10477.114768236295,2010,8,16,5,3
8400,95,174.13753018663922,1054,16543.065367730727,2011,8,2,5,3
4170,29,51.92883078377558,1030,1505.9360927294915,2011,12,27,6,3
3255,47,117.19913090562972,1029,5508.359152564597,2011,9,24,4,3
2154,30,281.5785004985708,1066,8447.355014957124,2012,10,24,0,3
5499,90,471.387211809937,1012,42424.84906289434,2011,11,13,4,3
7295,84,256.6290822131723,1058,21556.842905906477,2010,12,28,0,3
7197,38,57.25590681015144,1053,2175.7244587857545,2012,6,4,3,3
2648,83,314.2638036844526,1020,26083.89570580957,2012,3,28,2,3
6539,27,366.68962345718273,1042,9900.619833343932,2011,6,5,3,3
5199,89,197.2485513264027,1010,17555.12106804984,2012,8,27,2,3
9445,87,361.0355181083618,1066,31410.09007542748,2010,7,12,5,3
3557,93,163.08658475445569,1037,15167.052382164378,2012,8,15,0,3
6592,15,394.7559856466103,1094,5921.339784699154,2011,3,5,2,3
1098,59,171.19500762546443,1023,10100.5054499024,2011,8,5,3,3
3200,3,128.79743870871235,1050,386.3923161261371,2011,5,16,3,3
3961,10,439.711521539896,1075,4397.11521539896,2012,7,25,3,3
5973,79,274.6882371665227,1060,21700.37073615529,2011,4,9,6,3
5433,80,143.2929880821007,1045,11463.439046568055,2012,3,15,4,3
3869,17,467.60835793388657,1042,7949.342084876072,2011,6,27,3,3
1956,83,345.73473655755856,1026,28695.98313427736,2011,9,4,4,3
9352,11,111.12949942812804,1084,1222.4244937094084,2011,4,17,1,3
6699,48,307.70653494179754,1088,14769.91367720628,2010,12,24,0,3
7944,5,435.30905681322326,1029,2176.5452840661164,2010,9,27,1,3
5493,69,348.38041812748867,1093,24038.24885079672,2011,3,1,1,3
5911,64,123.13481622930507,1062,7880.628238675526,2011,6,16,4,3
4987,14,324.7753160185629,1009,4546.85442425988,2012,12,23,4,3
7015,50,309.9605269873802,1002,15498.02634936901,2012,5,28,6,3
2218,26,410.6009881257656,1076,10675.625691269906,2010,9,20,0,3
5496,72,89.8881659013532,1059,6471.947944897431,2012,6,17,0,3
5735,69,350.1176988336786,1026,24158.121219523822,2012,2,4,5,3
5555,7,14.65797537471731,1081,102.60582762302116,2012,4,23,0,3
9050,16,348.391475017248,1044,5574.263600275968,2012,5,13,6,3
4446,55,480.25821466534,1061,26414.201806593697,2010,11,8,3,3
2045,78,88.01974485855911,1023,6865.54009896761,2010,11,18,3,3
7893,56,156.33858663668545,1045,8754.960851654385,2012,9,13,6,3
2693,4,291.8529144422471,1077,1167.4116577689883,2012,1,9,0,3
4436,48,366.46512788277056,1043,17590.326138372988,2010,12,5,4,3
9754,17,172.84132381186265,1062,2938.302504801665,2011,9,11,1,3
6895,36,332.46522959292867,1003,11968.748265345432,2012,10,28,0,3
4354,70,449.7401174756302,1015,31481.808223294112,2011,1,14,5,3
1225,80,363.5528348249067,1050,29084.226785992538,2012,1,24,0,3
5893,93,355.8003360835198,1073,33089.43125576734,2010,4,18,1,3
8022,38,191.6033585498913,1090,7280.927624895871,2012,6,18,2,3
6600,62,455.8032251102622,1047,28259.799956836257,2011,2,20,0,3
8996,48,139.3841480385778,1064,6690.439105851734,2010,1,16,0,3
8683,10,103.43489795323065,1068,1034.3489795323062,2012,12,4,3,3
5642,36,182.74774292952543,1076,6578.918745462916,2012,4,19,1,3
8679,29,325.4279541485085,1044,9437.410670306746,2010,8,5,5,3
9208,78,430.9773151110589,1002,33616.230578662595,2012,6,2,0,3
8339,4,66.90731239131122,1016,267.6292495652449,2010,12,17,5,3
3205,44,407.0872864528213,1082,17911.840603924138,2012,5,28,0,3
2069,56,406.5988739398285,1036,22769.5369406304,2010,1,4,2,3
4444,42,293.872758938453,1004,12342.655875415025,2012,3,6,1,3
2060,13,380.5633218494348,1046,4947.323184042652,2010,7,22,0,3
3327,46,91.75846837764207,1043,4220.889545371536,2010,10,18,2,3
4420,82,85.62341440953598,1087,7021.119981581951,2012,3,6,0,3
1301,33,431.5372170302348,1032,14240.728161997748,2010,5,20,4,3
1606,21,249.5760701800489,1020,5241.097473781027,2012,6,26,2,3
4170,80,123.7226699121717,1066,9897.813592973736,2012,9,15,5,3
1699,79,344.67644844555554,1067,27229.43942719889,2012,11,1,6,3
6088,57,446.0457083001763,1031,25424.605373110047,2010,3,17,4,3
1190,69,316.52900032618066,1023,21840.501022506465,2012,6,2,6,3
1980,70,174.32517642706858,1034,12202.7623498948,2010,11,4,0,3
3975,67,242.13564488121423,1017,16223.088207041355,2011,2,24,2,3
7102,48,376.3824610117245,1066,18066.358128562773,2011,9,3,1,3
2184,76,34.68311320732137,1053,2635.916603756424,2011,12,27,6,3
4327,33,109.36509346226468,1025,3609.0480842547354,2012,9,21,6,3
4394,36,231.82901013807412,1059,8345.84436497067,2010,7,3,5,3
9319,33,302.51624108445225,1087,9983.035955786923,2012,11,24,3,3
2816,31,170.2436299301199,1064,5277.552527833717,2010,9,14,0,3
6854,21,149.89707001307048,1050,3147.83847027448,2011,4,20,2,3
7709,27,21.650713654160924,1097,584.5692686623449,2011,10,27,4,3
1569,91,17.268284253672324,1059,1571.4138670841814,2011,1,8,2,3
6442,72,140.06873229710996,1058,10084.948725391918,2012,1,8,1,3
2895,62,265.72254394468195,1075,16474.797724570282,2012,2,9,2,3
3733,96,278.6293767262603,1016,26748.420165720992,2010,10,18,4,3
4863,26,247.5197189405676,1084,6435.512692454757,2010,11,27,0,3
8455,66,205.5304613174143,1020,13565.010446949344,2011,3,26,5,3
5014,12,126.89350304139909,1066,1522.7220364967889,2012,2,7,4,3
2686,22,200.94652136479831,1027,4420.8234700255625,2012,4,10,5,3
4009,17,70.24122272737124,1088,1194.100786365311,2010,8,1,5,3
8806,7,58.514355283992366,1043,409.60048698794657,2010,3,4,4,3
1154,68,150.6716851500819,1069,10245.67459020557,2012,4,20,4,3
2409,37,497.67904941718257,1061,18414.124828435757,2012,2,4,3,3
1784,38,163.92197681068282,1041,6229.035118805948,2010,1,23,5,3
9096,96,468.2917387871975,1093,44956.00692357096,2012,8,14,0,3
8560,11,196.7388107380793,1095,2164.1269181188723,2012,7,5,3,3
8343,1,220.06598560860508,1021,220.06598560860508,2011,10,5,5,3
8206,25,398.7343787179125,1037,9968.359467947814,2012,2,19,2,3
6596,42,47.725525396280894,1013,2004.4720666437972,2012,8,26,0,3
6801,52,91.97434847322612,1097,4782.666120607758,2012,10,21,0,3
3806,24,486.9462922226321,1025,11686.71101334317,2010,3,5,5,3
1537,53,253.45275264038665,1039,13432.99588994049,2011,7,24,2,3
6986,56,23.11053142210652,1053,1294.189759637965,2010,1,11,2,3
2841,63,24.642985794969203,1012,1552.5081050830595,2011,12,2,4,3
9716,81,453.713101204919,1093,36750.76119759844,2011,3,15,5,3
7971,8,436.8091796898001,1018,3494.4734375184007,2012,9,14,5,3
6625,59,229.74115436560496,1041,13554.728107570692,2011,4,14,0,3
3950,45,82.44782088635478,1040,3710.151939885965,2011,1,8,6,3
8992,27,415.31201857487736,1049,11213.42450152169,2012,11,20,1,3
5780,52,162.9754535325456,1002,8474.723583692372,2012,6,25,5,3
3368,18,210.11014093288455,1030,3781.9825367919225,2011,1,8,4,3
7655,91,341.5557131456097,1075,31081.56989625048,2010,10,5,0,3
9173,86,177.34577835041958,1014,15251.736938136084,2011,1,5,2,3
5495,16,314.7062934224482,1053,5035.300694759171,2010,2,25,2,3
7002,66,442.7560725108496,1052,29221.900785716072,2010,3,14,1,3
7614,5,398.8892611184643,1044,1994.446305592321,2011,2,5,0,3
6919,82,191.42392585971305,1037,15696.76192049647,2010,8,9,3,3
1853,3,144.68034079716367,1077,434.04102239149097,2011,6,22,4,3
5146,91,143.46971392103993,1098,13055.743966814633,2010,1,27,0,3
4769,81,174.94698403791494,1079,14170.70570707111,2010,6,11,3,3
1574,80,247.26497637566135,1049,19781.19811005291,2011,1,17,2,3
2148,70,208.8821428662776,1023,14621.750000639431,2012,9,27,2,3
7293,7,67.36900647284126,1016,471.58304530988886,2012,3,12,3,3
7457,50,82.56447330862024,1017,4128.223665431012,2011,12,12,3,3
8509,14,172.1218750896935,1041,2409.706251255709,2011,1,24,1,3
5777,38,281.4699859293698,1016,10695.859465316053,2012,1,16,0,3
4854,79,296.73931111661386,1015,23442.405578212496,2012,2,1,2,3
3491,47,243.6173253834184,1084,11450.014293020664,2010,6,18,4,3
4124,33,369.64916472254976,1087,12198.422435844142,2010,1,6,2,3
6691,43,368.8871455896116,1097,15862.147260353298,2010,7,5,0,3
4051,91,214.3861083720069,1051,19509.13586185263,2012,11,18,3,3
1004,29,63.09596456971119,1035,1829.7829725216243,2011,12,13,1,3
6222,57,265.5572101137945,1090,15136.760976486286,2010,4,6,6,3
6315,5,191.35306293292248,1038,956.7653146646124,2011,7,7,2,3
5869,93,69.82357189208795,1080,6493.592185964179,2012,4,3,1,3
1876,96,490.9267877724548,1024,47128.97162615566,2010,11,11,3,3
8027,60,185.507939250771,1041,11130.47635504626,2012,4,8,5,3
5142,70,313.2731219709942,1020,21929.1185379696,2011,4,4,0,3
7966,2,245.5743018069617,1067,491.1486036139234,2010,10,10,2,3
8079,70,72.27131132916628,1088,5058.99179304164,2011,12,9,0,3
8987,43,28.716268062912714,1058,1234.7995267052468,2011,10,23,4,3
7799,4,313.2589381258975,1029,1253.03575250359,2010,8,13,0,3
5465,56,124.2639133035949,1056,6958.779145001315,2010,2,19,6,3
1635,93,122.5833458072438,1032,11400.251160073674,2012,8,15,5,3
2693,59,478.531118665445,1089,28233.33600126125,2010,10,5,3,3
5752,89,231.4248788513344,1088,20596.81421776876,2010,11,25,3,3
9311,9,15.68360718384393,1052,141.15246465459538,2010,1,13,4,3
1830,3,170.58151485975358,1015,511.7445445792607,2010,7,12,6,3
6177,90,292.6612795838612,1048,26339.5151625475,2010,7,9,0,3
9932,48,164.95514184004327,1087,7917.846808322077,2012,6,24,5,3
9308,43,14.399125063037014,1004,619.1623777105916,2011,4,8,3,3
6949,91,222.71132146790092,1076,20266.730253578982,2012,5,9,3,3
3838,96,53.84726175121415,1093,5169.337128116558,2011,1,21,3,3
2150,1,309.9608523066895,1059,309.9608523066895,2010,2,13,3,3
8560,57,310.1739630111213,1070,17679.915891633915,2012,10,27,1,3
2931,53,19.84181065960196,1080,1051.6159649589038,2011,7,9,6,3
2664,16,146.04246453808923,1054,2336.679432609428,2011,2,6,2,3
2081,51,207.4294456057629,1090,10578.90172589391,2010,8,6,1,3
1512,75,275.5817848317298,1034,20668.63386237973,2010,7,11,3,3
8805,90,148.73565142438937,1068,13386.20862819504,2011,10,10,6,3
6237,55,144.58550976314768,1041,7952.203036973123,2012,8,14,5,3
1559,1,491.5245629688794,1068,491.5245629688794,2011,4,28,0,3
4672,90,21.889535064729053,1023,1970.058155825615,2012,1,6,1,3
8404,28,494.5336616314848,1070,13846.942525681574,2012,7,7,4,3
4343,53,24.828218598119868,1070,1315.895585700353,2011,1,9,2,3
5070,58,144.88237246954824,1054,8403.177603233798,2012,7,3,0,3
1580,73,247.35173662970567,1013,18056.676773968516,2011,9,12,1,3
8004,60,72.50587316414827,1054,4350.352389848897,2011,5,16,2,3
9130,59,68.2883348968432,1014,4029.011758913749,2010,2,13,6,3
4147,22,128.90004391721197,1004,2835.800966178664,2011,11,6,5,3
5249,8,486.7800846032112,1003,3894.240676825689,2011,1,13,6,3
2679,49,190.6783125784075,1029,9343.237316341969,2010,8,26,1,3
4506,42,283.4314242963267,1083,11904.119820445723,2010,4,5,4,3
8253,27,352.44140978844155,1052,9515.918064287922,2012,8,4,3,3
3744,39,371.368695926581,1089,14483.379141136658,2012,2,8,4,3
6188,83,344.3324422063321,1072,28579.592703125563,2010,3,3,3,3
3141,25,169.1271684026707,1029,4228.179210066767,2010,3,2,2,3
7617,38,56.75218585067517,1085,2156.583062325657,2010,4,20,1,3
3479,85,141.57652119127224,1093,12034.00430125814,2011,9,19,1,3
7484,24,105.9373181579838,1083,2542.495635791612,2011,9,7,4,3
8421,24,69.00237512978907,1091,1656.0570031149375,2011,5,12,0,3
5452,60,13.223869144057732,1060,793.432148643464,2010,7,4,2,3
6881,83,467.9271986801487,1070,38837.95749045234,2012,9,10,5,3
